Easting,Northing,Elevation,Distance (m),origin,
408009.4106,1420159.729,23.89369109,254.021347,Maptiler terrain provider,
408010.4083,1420159.665,23.87315039,255.0214386,Maptiler terrain provider,
408011.4059,1420159.601,23.85260969,256.0215149,Maptiler terrain provider,
408012.4036,1420159.538,23.832069,257.0216064,Maptiler terrain provider,
408013.4013,1420159.474,23.8115283,258.021698,Maptiler terrain provider,
408014.399,1420159.41,23.7909876,259.021759,Maptiler terrain provider,
408015.3967,1420159.347,23.7704469,260.0218506,Maptiler terrain provider,
408016.3944,1420159.283,23.74990621,261.0219421,Maptiler terrain provider,
408017.3921,1420159.219,23.72936551,262.0220337,Maptiler terrain provider,
408018.3897,1420159.156,23.70882481,263.0220947,Maptiler terrain provider,
408019.3874,1420159.092,23.68828412,264.0221863,Maptiler terrain provider,
408020.3851,1420159.028,23.66774342,265.0222778,Maptiler terrain provider,
408021.3828,1420158.965,23.64720273,266.0223694,Maptiler terrain provider,
408022.3805,1420158.901,23.62666203,267.0224304,Maptiler terrain provider,
408023.3782,1420158.837,23.60612134,268.022522,Maptiler terrain provider,
408024.3759,1420158.774,23.58558065,269.0226135,Maptiler terrain provider,
408025.3735,1420158.71,23.56503995,270.0227051,Maptiler terrain provider,
408026.3712,1420158.646,23.54449926,271.0227661,Maptiler terrain provider,
408027.3689,1420158.583,23.52395857,272.0228577,Maptiler terrain provider,
408028.3666,1420158.519,23.50341788,273.0229492,Maptiler terrain provider,
408029.3643,1420158.455,23.48287719,274.0230408,Maptiler terrain provider,
408030.362,1420158.392,23.4623365,275.0231018,Maptiler terrain provider,
408031.3597,1420158.328,23.44179581,276.0231934,Maptiler terrain provider,
408032.3573,1420158.264,23.42125512,277.0232849,Maptiler terrain provider,
408033.355,1420158.201,23.40071443,278.0233765,Maptiler terrain provider,
408034.3527,1420158.137,23.38017374,279.0234375,Maptiler terrain provider,
408035.3504,1420158.073,23.35963305,280.0235291,Maptiler terrain provider,
408036.3481,1420158.01,23.33909236,281.0236206,Maptiler terrain provider,
408037.3458,1420157.946,23.31855168,282.0237122,Maptiler terrain provider,
408038.3435,1420157.882,23.29801099,283.0237732,Maptiler terrain provider,
408039.3411,1420157.819,23.2774703,284.0238647,Maptiler terrain provider,
408040.3388,1420157.755,23.25692961,285.0239563,Maptiler terrain provider,
408041.3365,1420157.691,23.23638893,286.0240479,Maptiler terrain provider,
408042.3342,1420157.628,23.21584824,287.0241089,Maptiler terrain provider,
408043.3319,1420157.564,23.19530756,288.0242004,Maptiler terrain provider,
408044.3296,1420157.5,23.17476687,289.024292,Maptiler terrain provider,
408045.3273,1420157.437,23.15422619,290.0243835,Maptiler terrain provider,
408046.3249,1420157.373,23.13368551,291.0244446,Maptiler terrain provider,
408047.3226,1420157.31,23.11314482,292.0245361,Maptiler terrain provider,
408048.3203,1420157.246,23.09260414,293.0246277,Maptiler terrain provider,
408049.318,1420157.182,23.07206346,294.0247192,Maptiler terrain provider,
408050.3157,1420157.119,23.05152278,295.0247803,Maptiler terrain provider,
408051.3134,1420157.055,23.03098209,296.0248718,Maptiler terrain provider,
408052.3111,1420156.991,23.01044141,297.0249634,Maptiler terrain provider,
408053.3087,1420156.928,22.98990073,298.0250549,Maptiler terrain provider,
408054.3064,1420156.864,22.96936005,299.025116,Maptiler terrain provider,
408055.3041,1420156.8,22.94881937,300.0252075,Maptiler terrain provider,
408056.3018,1420156.737,22.92827869,301.0252991,Maptiler terrain provider,
408057.2995,1420156.673,22.90773801,302.0253906,Maptiler terrain provider,
408058.2972,1420156.609,22.88719734,303.0254517,Maptiler terrain provider,
408059.2949,1420156.546,22.86665666,304.0255432,Maptiler terrain provider,
408060.2925,1420156.482,22.84611598,305.0256348,Maptiler terrain provider,
408061.2902,1420156.418,22.8255753,306.0257263,Maptiler terrain provider,
408062.2879,1420156.355,22.80503463,307.0258179,Maptiler terrain provider,
408063.2856,1420156.291,22.78449395,308.0258789,Maptiler terrain provider,
408064.2833,1420156.227,22.76395327,309.0259705,Maptiler terrain provider,
408065.281,1420156.164,22.7434126,310.026062,Maptiler terrain provider,
408066.2787,1420156.1,22.72287192,311.0261536,Maptiler terrain provider,
408067.2763,1420156.036,22.70233125,312.0262146,Maptiler terrain provider,
408068.274,1420155.973,22.68179057,313.0263062,Maptiler terrain provider,
408069.2717,1420155.909,22.6612499,314.0263977,Maptiler terrain provider,
408070.2694,1420155.845,22.64070923,315.0264893,Maptiler terrain provider,
408071.2671,1420155.782,22.62016855,316.0265503,Maptiler terrain provider,
408072.2648,1420155.718,22.59962788,317.0266418,Maptiler terrain provider,
408073.2625,1420155.654,22.57908721,318.0267334,Maptiler terrain provider,
408074.2601,1420155.591,22.55854654,319.026825,Maptiler terrain provider,
408075.2578,1420155.527,22.53800587,320.026886,Maptiler terrain provider,
408076.2555,1420155.463,22.5174652,321.0269775,Maptiler terrain provider,
408077.2532,1420155.4,22.49692453,322.0270691,Maptiler terrain provider,
408078.2509,1420155.336,22.47638386,323.0271606,Maptiler terrain provider,
408079.2486,1420155.272,22.45584319,324.0272217,Maptiler terrain provider,
408080.2463,1420155.209,22.43530252,325.0273132,Maptiler terrain provider,
408081.2439,1420155.145,22.41476185,326.0274048,Maptiler terrain provider,
408082.2416,1420155.081,22.39422118,327.0274963,Maptiler terrain provider,
408083.2393,1420155.018,22.37368051,328.0275574,Maptiler terrain provider,
408084.237,1420154.954,22.35313985,329.0276489,Maptiler terrain provider,
408085.2347,1420154.89,22.33259918,330.0277405,Maptiler terrain provider,
408086.2324,1420154.827,22.31205851,331.027832,Maptiler terrain provider,
408087.2301,1420154.763,22.29151785,332.0278931,Maptiler terrain provider,
408088.2277,1420154.699,22.27097718,333.0279846,Maptiler terrain provider,
408089.2254,1420154.636,22.25043652,334.0280762,Maptiler terrain provider,
408090.2231,1420154.572,22.22989585,335.0281677,Maptiler terrain provider,
408091.2208,1420154.508,22.20935519,336.0282288,Maptiler terrain provider,
408092.2185,1420154.445,22.18881453,337.0283203,Maptiler terrain provider,
408093.2162,1420154.381,22.16827386,338.0284119,Maptiler terrain provider,
408094.2139,1420154.317,22.1477332,339.0285034,Maptiler terrain provider,
408095.2115,1420154.254,22.12719254,340.0285645,Maptiler terrain provider,
408096.2092,1420154.19,22.10665188,341.028656,Maptiler terrain provider,
408097.2069,1420154.126,22.08611121,342.0287476,Maptiler terrain provider,
408098.2046,1420154.063,22.06557055,343.0288391,Maptiler terrain provider,
408099.2023,1420153.999,22.04502989,344.0289001,Maptiler terrain provider,
408100.2,1420153.935,22.02448923,345.0289917,Maptiler terrain provider,
408101.1977,1420153.872,22.00394857,346.0290833,Maptiler terrain provider,
408102.1953,1420153.808,21.98340791,347.0291748,Maptiler terrain provider,
408103.193,1420153.744,21.96286725,348.0292358,Maptiler terrain provider,
408104.1907,1420153.681,21.94232659,349.0293274,Maptiler terrain provider,
408105.1884,1420153.617,21.92178594,350.0294189,Maptiler terrain provider,
408106.1861,1420153.553,21.90124528,351.0295105,Maptiler terrain provider,
408107.1838,1420153.49,21.88070462,352.0295715,Maptiler terrain provider,
408108.1815,1420153.426,21.86016397,353.0296631,Maptiler terrain provider,
408109.1791,1420153.362,21.83962331,354.0297546,Maptiler terrain provider,
408110.1768,1420153.299,21.81908265,355.0298462,Maptiler terrain provider,
408111.1745,1420153.235,21.798542,356.0299072,Maptiler terrain provider,
408112.1722,1420153.171,21.77800134,357.0299988,Maptiler terrain provider,
408113.1699,1420153.108,21.75746069,358.0300903,Maptiler terrain provider,
408114.1676,1420153.044,21.73692003,359.0301819,Maptiler terrain provider,
408115.1653,1420152.98,21.71637938,360.0302429,Maptiler terrain provider,
408116.1629,1420152.917,21.69583873,361.0303345,Maptiler terrain provider,
408117.1606,1420152.853,21.67529807,362.030426,Maptiler terrain provider,
408118.1583,1420152.789,21.65475742,363.0305176,Maptiler terrain provider,
408119.156,1420152.726,21.63421677,364.0305786,Maptiler terrain provider,
408120.1537,1420152.662,21.61367612,365.0306702,Maptiler terrain provider,
408121.1514,1420152.598,21.59313547,366.0307617,Maptiler terrain provider,
408122.1491,1420152.535,21.57259482,367.0308533,Maptiler terrain provider,
408123.1467,1420152.471,21.55205417,368.0309448,Maptiler terrain provider,
408124.1444,1420152.407,21.53151352,369.0310059,Maptiler terrain provider,
408125.1421,1420152.344,21.51097287,370.0310974,Maptiler terrain provider,
408126.1398,1420152.28,21.49043222,371.031189,Maptiler terrain provider,
408127.1375,1420152.216,21.46989157,372.0312805,Maptiler terrain provider,
408128.1352,1420152.153,21.44935092,373.0313416,Maptiler terrain provider,
408129.1329,1420152.089,21.42881027,374.0314331,Maptiler terrain provider,
408130.1305,1420152.025,21.40826963,375.0315247,Maptiler terrain provider,
408131.1282,1420151.962,21.38772898,376.0316162,Maptiler terrain provider,
408132.1259,1420151.898,21.36718833,377.0316772,Maptiler terrain provider,
408133.1236,1420151.834,21.34664769,378.0317688,Maptiler terrain provider,
408134.1213,1420151.771,21.32610704,379.0318604,Maptiler terrain provider,
408135.119,1420151.707,21.3055664,380.0319519,Maptiler terrain provider,
408136.1167,1420151.644,21.28502575,381.0320129,Maptiler terrain provider,
408137.1143,1420151.58,21.26448511,382.0321045,Maptiler terrain provider,
408138.112,1420151.516,21.24394446,383.032196,Maptiler terrain provider,
408139.1097,1420151.453,21.22340382,384.0322876,Maptiler terrain provider,
408140.1074,1420151.389,21.20286318,385.0323486,Maptiler terrain provider,
408141.1051,1420151.325,21.18232253,386.0324402,Maptiler terrain provider,
